,Unnamed: 0,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,full_kappa,learn_prediction,learn_ll,learn_alpha,learn_kappa,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,plan_kappa,learn_rho,plan_alpha
1545,1545,45,45,15,684,2,2,2,0,True,0,0,23,True,train,0.7797714638886107,0.36003602176644484,2.1700836408278743,0.39187424860922493,1.7782093922186493,-0.24875439724452653,5.0,0.8,0.9,0.17876084669922285,-1.7217064184142143,30.0,0.9,0.39919657575757567,2.210420110470982,0.26926792012562045,1.941152190345362,-0.9183013123432013,0.75,0.9,0.75,30.0
1546,1546,46,46,9,693,2,2,2,0,True,0,0,23,True,test,0.8427296527872012,0.36632914188400173,2.2595107712669336,0.5208823069096049,1.7386284643573289,-0.17110906898951253,5.0,0.8,0.9,0.18053678786672808,-1.71182071107982,30.0,0.9,0.5432173987761347,2.4465537073299344,0.5732513522080794,1.8733023551218548,-0.6102456731030814,0.75,0.9,0.75,30.0
1547,1547,47,47,15,708,1,2,2,2,False,0,0,23,True,train,0.47650704816822437,0.3734273664458967,2.3056540641971095,0.420555167516542,1.8850988966805677,-0.6472317123117965,5.0,0.8,0.9,0.1298628018476244,-0.13910438074097287,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555725,1.918780109349367,-0.5532892540116109,0.75,0.9,0.75,30.0
1548,1548,48,48,13,721,6,6,2,3,True,0,0,23,True,train,0.29469515680528857,0.3711364742968282,2.369456344317445,0.2933153809981492,2.0761409633192955,-1.2218138236955942,5.0,0.8,0.9,0.10466673259080485,-2.256973951893738,30.0,0.9,0.3769454,2.2059404724124607,0.24199752227363885,1.963942950138822,-0.9756549296088608,0.75,0.9,0.75,30.0
1549,1549,49,49,12,733,3,3,2,1,True,0,0,23,True,train,0.5954651900711655,0.3692013982497025,2.2758214093809013,0.4589907826424811,1.81683062673842,-0.5184123468555994,5.0,0.8,0.9,0.15059875757963553,-1.8931362134535905,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555703,1.9187801093493673,-0.8557959856638674,0.75,0.9,0.75,30.0
1550,1550,50,50,14,747,1,1,2,2,True,0,0,23,True,train,0.516256896008088,0.367177142424265,2.366718200275755,0.5058672152608247,1.8608509850149306,-0.6611507769111941,5.0,0.8,0.9,0.1307699438563677,-2.034315653394952,30.0,0.9,0.49564686610878655,2.326776651522649,0.4508369793506526,1.875939672171996,-0.7018915693139255,0.75,0.9,0.75,30.0
1551,1551,51,51,8,755,4,2,2,3,False,0,0,23,True,train,0.3013508639127631,0.36522484548410483,2.2952781903627755,0.30645324558112147,1.988824944781654,-0.3586066140023018,5.0,0.8,0.9,0.10198219715174957,-0.10756538587839846,30.0,0.9,0.42494480645161287,2.2149247227149247,0.29614461336555725,1.9187801093493673,-0.5532892540116109,0.75,0.9,0.75,30.0
1552,1552,52,52,14,769,1,0,2,2,False,0,0,23,True,train,0.4951202644666073,0.36365933644358733,2.303251138622385,0.42897038328953535,1.8742807553328498,-0.6834350255270144,5.0,0.8,0.9,0.13231330437570638,-0.14192457922142165,30.0,0.9,0.4249448064516128,2.2149247227149242,0.29614461336555725,1.918780109349367,-0.5532892540116109,0.75,0.9,0.75,30.0
1553,1553,53,53,21,790,5,6,2,3,False,0,0,23,True,test,0.38591063803677556,0.3615026799371931,2.474328894025347,0.5378814787116261,1.936447415313721,-0.4876148207682912,5.0,0.8,0.9,0.10105957811153572,-0.10653851824331934,30.0,0.9,0.4956468661087866,2.3267766515226485,0.4508369793506526,1.8759396721719959,-0.6844785937775614,0.75,0.9,0.75,30.0
1554,1554,54,54,13,803,2,2,2,0,True,0,0,23,True,train,0.7643503907912489,0.35899613131078506,2.2098588292223007,0.3676886200900804,1.8421702091322203,-0.2687289682625761,5.0,0.8,0.9,0.18073834292183566,-1.710704912848267,30.0,0.9,0.37694540000000004,2.2059404724124607,0.24199752227363897,1.963942950138822,-0.9756549296088607,0.75,0.9,0.75,30.0
