,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_surprise,full_cost,full_error,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_surprise,plan_cost,plan_error,plan_ll,plan_rho,learn_rho,plan_alpha
2589,89,89,9,1341,6,4,4,2,False,0,0,5,train,0.47578645105853634,0.6178379359522347,2.1118015172279563,0.44163492541633265,1.6701665918116237,-0.6458561415335643,0.1,0.8831578947368421,0.1274262755397434,-0.13630813052658722,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2590,90,90,22,1363,4,4,4,0,True,0,0,5,test,0.9183710688108203,0.615114903708491,1.0748025499469098,0.2586559638400657,0.8161465861068442,-0.08515375564340359,0.1,0.8831578947368421,0.5990995993719511,-0.5123274186089709,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2591,91,91,11,1374,4,4,4,0,True,0,0,5,train,0.9193901264131504,0.6183622821667243,1.0706280583439804,0.25643544154152226,0.8141926168024581,-0.084044734831096,0.1,0.8831578947368421,0.6029688225543519,-0.5058897874816075,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2592,92,92,18,1392,5,5,4,1,True,0,0,5,train,0.32821135140932545,0.6215499096785814,2.307252065788802,0.35148907439677834,1.9557629913920238,-1.11409751405855,0.1,0.8831578947368421,0.09631258296266308,-2.3401563045117717,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2593,93,93,13,1405,4,4,4,0,True,0,0,5,test,0.9198347653291695,0.6197868125223985,1.0688333375953416,0.25547827818077823,0.8133550594145633,-0.08356122797266048,0.1,0.8831578947368421,0.6030846273761031,-0.5056977481949344,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2594,94,94,11,1416,4,4,4,0,True,0,0,5,train,0.9207993461957692,0.6228963714882249,1.0648593543468559,0.25335352647012366,0.8115058278767322,-0.08251313161406333,0.1,0.8831578947368421,0.6067945512110434,-0.4995650110948076,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2595,95,95,15,1431,5,5,4,1,True,0,0,5,test,0.3343060918564428,0.6259504054627738,2.299598320679159,0.3561006638344138,1.943497656844745,-1.0956982629986856,0.1,0.8831578947368421,0.10015344953292211,-2.301051773799754,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2596,96,96,10,1441,4,4,4,0,True,0,0,5,test,0.9211998318424748,0.624194360264355,1.063235176397056,0.2524830216055422,0.8107521547915137,-0.08207829357744427,0.1,0.8831578947368421,0.6067842416407189,-0.4995820014548658,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.5348580413071903,0.9136842105263158,0.95,1.0
2597,97,97,10,1451,3,5,4,3,False,0,0,5,train,0.08961305868196641,0.6271763380902259,2.5886212013209686,0.1101335601774112,2.4784876411435572,-0.09388555960789959,0.1,0.8831578947368421,0.006894393344201119,-0.006918269478249218,0.15,0.5857524368932038,2.0794415416798357,0.632639451473544,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2598,98,98,8,1459,4,0,4,0,False,0,0,5,train,0.9219560751756243,0.6266534651948533,1.0600938830389617,0.25079592514598675,0.8092979578929749,-2.5504834720216336,0.1,0.8831578947368421,0.6096546515261712,-0.9407234227829073,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2599,99,99,23,1482,6,7,4,2,False,0,0,5,train,0.46923584599059415,0.6295580657824432,2.120678261386745,0.43871482309290916,1.6819634382938358,-0.633437510813882,0.1,0.8831578947368421,0.12465233355733057,-0.13313413846307015,0.15,0.5857524368932038,2.0794415416798357,0.6326394514735441,1.4468020902062917,-0.881291505355903,0.9136842105263158,0.95,1.0
2600,0,0,15,15,5,4,4,1,False,0,0,7,train,0.7498484563928876,0.12499999999999999,2.0794415416798357,1.098303882186855,0.9811376594929808,-1.3856883703409477,4.37,0.9594736842105264,0.12499999999999999,-0.13353139262452263,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
2601,1,1,14,29,5,0,4,1,False,0,0,7,train,0.7926585773358868,0.13357629810346236,1.9174762969231036,1.0651829701379343,0.8522933267851693,-1.5733884596073198,4.37,0.9594736842105264,0.21699049326432518,-0.2446104416401684,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
2602,2,2,15,44,5,7,4,1,False,0,0,7,test,0.8250543332256481,0.13968480671001596,1.7762785454868393,1.0204850105379248,0.7557935349489144,-1.743279828841275,4.37,0.9594736842105264,0.30537334086537826,-0.3643807588520675,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
2603,3,3,24,68,4,4,4,0,True,0,0,7,train,0.7767074751590594,0.14372520048647094,1.9779031541869467,1.079962411754977,0.8979407424319696,-0.2526914793475897,4.37,0.9594736842105264,0.1411709174458485,-1.9577839422345211,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2604,4,4,15,83,0,7,4,3,False,0,0,7,train,0.6881449862297965,0.16953076268986217,2.275341498589658,1.1077347255046694,1.1676067730849886,-1.1652168986333837,4.37,0.9594736842105264,0.06260721191119728,-0.06465288704904655,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
2605,5,5,20,103,6,6,4,2,True,0,0,7,train,0.7241853060697397,0.16153605234482526,2.1632664824003145,1.1067859884752806,1.056480493925034,-0.3227079717352846,4.37,0.9594736842105264,0.08424124217276784,-2.474070665624489,1.23,0.8219467074954301,2.079441541679836,1.351774795243448,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2606,6,6,20,123,5,5,4,1,True,0,0,7,train,0.8409653439191992,0.15838297462300327,1.6993780795134268,0.9906838430719794,0.7086942364414472,-0.17320482803995887,4.37,0.9594736842105264,0.3231157787144767,-1.1297445719541932,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2607,7,7,8,131,4,4,4,0,True,0,0,7,train,0.7964089101011234,0.1596610570091934,1.8991622769994514,1.0601677210439937,0.8389945559554577,-0.22764251888240128,4.37,0.9594736842105264,0.17176184271214257,-1.7616463970565932,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-0.1960797187583098,0.9747368421052632,0.95,1.0
2608,8,8,11,142,5,6,4,1,False,0,0,7,train,0.8592834536715941,0.18198522885243426,1.6033456661953083,0.9486038927185102,0.6547417734767981,-1.961007721716395,4.37,0.9594736842105264,0.3562174082341637,-0.4403942002999792,1.23,0.8219467074954301,2.079441541679836,1.3517747952434478,0.7276667464363884,-1.725672377407029,0.9747368421052632,0.95,1.0
