id,trials,optimal_path,highest_reward_path,number_max_rewards,in_optimal_path
12,66,5,"[4, 5, 6, 7]",2,True
12,67,5,"[0, 1, 2, 4, 5]",4,True
12,68,6,[6],1,True
12,69,4,[4],1,True
12,70,3,"[0, 1, 2, 3, 6, 7]",3,True
12,71,3,"[2, 3]",2,True
12,72,2,[2],1,True
12,73,1,[1],1,True
12,74,6,"[0, 1, 2, 3, 6]",5,True
12,75,5,"[4, 5]",1,True
12,76,3,[3],1,True
12,77,5,"[0, 1, 2, 4, 5, 6, 7]",4,True
12,78,2,"[0, 1, 2, 3, 4, 5, 6, 7]",5,True
12,79,5,[5],1,True
12,80,6,[6],1,True
12,81,5,[6],1,False
12,82,4,[4],1,True
12,83,6,[6],1,True
12,84,5,[1],1,False
12,85,2,[2],1,True
12,86,4,[4],1,True
12,87,5,"[4, 5]",1,True
12,88,5,[5],1,True
12,89,4,[4],1,True
12,90,5,"[4, 5, 6, 7]",1,True
12,91,4,[4],1,True
12,92,4,[4],1,True
12,93,2,[2],1,True
12,94,2,[2],1,True
12,95,5,[5],1,True
12,96,5,"[4, 5, 6, 7]",2,True
12,97,5,"[2, 3, 5]",2,True
12,98,5,"[5, 7]",2,True
12,99,6,"[2, 3]",2,False
13,0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
13,1,3,"[0, 1, 2, 3]",2,True
13,2,3,"[0, 1, 2, 3, 4, 5, 6]",2,True
13,3,3,"[3, 6, 7]",2,True
13,4,2,"[0, 1, 2, 3]",1,True
13,5,3,"[2, 3]",1,True
13,6,3,"[2, 3, 6, 7]",2,True
13,7,4,"[4, 5]",1,True
13,8,3,"[2, 3, 4, 5]",1,True
13,9,2,"[2, 3]",1,True
13,10,3,"[0, 1, 2, 3]",2,True
13,11,1,"[1, 5, 7]",3,True
13,12,0,"[0, 1, 4, 5]",2,True
13,13,3,[3],1,True
13,14,2,"[0, 2, 3, 5]",4,True
13,15,0,"[0, 1, 2, 3, 7]",3,True
13,16,3,"[2, 3, 6, 7]",2,True
13,17,0,"[0, 1, 2, 3]",2,True
13,18,4,"[4, 6]",2,True
13,19,7,"[6, 7]",1,True
13,20,5,"[4, 5]",2,True
13,21,5,"[4, 5]",2,True
13,22,3,[3],1,True
13,23,3,"[2, 3]",2,True
13,24,3,"[3, 4]",2,True
13,25,3,"[0, 1, 2, 3, 4]",3,True
13,26,4,[4],1,True
13,27,3,[3],1,True
13,28,3,"[2, 3, 6, 7]",1,True
13,29,1,"[0, 1]",1,True
13,30,3,"[1, 3]",2,True
13,31,2,"[0, 1, 2, 3]",1,True
13,32,3,"[6, 7]",1,False
13,33,3,"[2, 3]",2,True
13,34,1,"[0, 1]",1,True
13,35,3,"[0, 1, 2, 3]",2,True
13,36,7,"[0, 1, 2, 3, 4, 5, 6, 7]",6,True
13,37,1,"[0, 1, 4]",2,True
13,38,2,"[0, 1, 2, 3]",1,True
13,39,3,[3],1,True
13,40,2,[2],1,True
13,41,6,[6],1,True
13,42,3,[3],1,True
13,43,2,"[0, 1, 2, 3]",4,True
13,44,3,"[3, 5]",2,True
13,45,3,"[2, 3]",1,True
13,46,2,"[0, 1, 2, 3]",4,True
13,47,2,"[2, 4, 5]",3,True
13,48,4,[4],1,True
13,49,3,"[0, 1, 2, 3]",1,True
13,50,5,"[0, 1]",2,False
13,51,3,"[3, 7]",2,True
13,52,3,"[0, 1, 2, 3]",1,True
13,53,3,"[2, 3]",1,True
13,54,1,"[4, 5, 6, 7]",4,False
13,55,1,[1],1,True
13,56,2,[2],1,True
13,57,3,[3],1,True
13,58,3,"[2, 3]",1,True
13,59,3,"[2, 3, 4, 5, 6, 7]",1,True
13,60,2,"[2, 4, 5]",3,True
13,61,1,[1],1,True
13,62,4,[4],1,True
13,63,3,"[1, 2, 3, 4, 5]",3,True
13,64,6,"[4, 5, 6]",3,True
13,65,2,[2],1,True
13,66,3,"[2, 3]",1,True
13,67,5,[5],1,True
13,68,3,"[0, 1, 2, 3]",2,True
13,69,3,"[2, 3]",1,True
13,70,1,"[6, 7]",2,False
13,71,6,"[6, 7]",1,True
13,72,1,"[4, 5, 6, 7]",4,False
13,73,3,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
13,74,1,"[0, 1]",1,True
13,75,6,[6],1,True
13,76,3,"[2, 3]",1,True
13,77,3,"[0, 1, 2, 3, 4, 5, 7]",5,True
13,78,3,"[0, 1, 2, 3]",1,True
13,79,2,"[6, 7]",2,False
13,80,1,[1],1,True
13,81,1,[1],1,True
13,82,3,"[2, 3]",1,True
13,83,3,"[2, 3]",2,True
13,84,3,[3],1,True
13,85,1,[1],1,True
13,86,3,"[0, 1, 3]",3,True
13,87,3,"[0, 1, 2, 3]",2,True
13,88,3,"[0, 1, 2, 3, 7]",3,True
13,89,3,[3],1,True
13,90,6,[6],1,True
13,91,2,[2],1,True
13,92,3,"[0, 1, 2, 3, 4]",3,True
13,93,3,"[0, 1, 2, 3]",1,True
13,94,3,[3],1,True
13,95,3,[3],1,True
13,96,1,[1],1,True
13,97,3,"[0, 2, 3, 5]",4,True
13,98,6,[6],1,True
13,99,2,"[0, 1, 2, 3, 4, 5]",3,True
14,0,5,"[4, 5, 6, 7]",2,True
14,1,5,"[4, 5, 6, 7]",1,True
14,2,5,"[4, 5, 6, 7]",3,True
14,3,7,"[4, 5, 6, 7]",2,True
14,4,5,[5],1,True
14,5,5,[5],1,True
14,6,5,"[4, 5]",1,True
14,7,0,"[0, 1, 4, 5]",2,True
14,8,0,[0],1,True
14,9,7,"[0, 7]",2,True
14,10,6,"[0, 1, 2, 3, 5, 6, 7]",2,True
14,11,4,"[4, 5, 6, 7]",1,True
14,12,0,"[0, 1, 2, 3, 4, 5, 6, 7]",1,True
14,13,7,"[4, 5, 6, 7]",2,True
14,14,4,"[4, 5, 6, 7]",1,True
14,15,7,"[0, 1, 6, 7]",2,True
14,16,6,"[4, 5, 6, 7]",1,True
14,17,5,"[2, 4, 5]",3,True
14,18,2,[2],1,True
14,19,5,"[4, 5, 6, 7]",2,True
14,20,5,[5],1,True
14,21,0,[0],1,True
14,22,5,"[4, 5, 6, 7]",1,True
14,23,5,"[4, 5, 6, 7]",3,True
14,24,5,"[4, 5, 6, 7]",3,True
14,25,7,[7],1,True
14,26,6,"[1, 4, 5, 6, 7]",4,True
14,27,5,"[4, 5, 6, 7]",1,True
14,28,5,[5],1,True
14,29,5,"[2, 3, 4, 5, 6, 7]",3,True
14,30,7,"[2, 3, 5, 6, 7]",3,True
14,31,4,"[2, 3, 4, 5, 6, 7]",1,True
14,32,5,[5],1,True
14,33,5,[5],1,True
14,34,5,[5],1,True
14,35,5,"[4, 5]",1,True
14,36,5,"[4, 5]",1,True
14,37,7,"[4, 5, 6, 7]",1,True
14,38,4,"[4, 5, 6, 7]",1,True
14,39,0,"[0, 1]",1,True
14,40,4,"[2, 3, 4, 5, 6, 7]",3,True
14,41,5,"[3, 4, 5]",3,True
14,42,5,"[4, 5, 6, 7]",1,True
14,43,5,[5],1,True
14,44,5,"[0, 2, 3, 4, 5, 6, 7]",3,True
14,45,5,"[4, 5]",1,True
14,46,6,[6],1,True
14,47,4,"[0, 1, 4, 5, 6, 7]",4,True
14,48,5,"[2, 3, 4, 5, 6, 7]",4,True
14,49,5,[5],1,True
14,50,4,[4],1,True
14,51,4,"[0, 1]",2,False
14,52,6,"[2, 3]",2,False
14,53,6,[6],1,True
14,54,5,"[4, 5, 6, 7]",2,True
14,55,5,"[4, 5, 6, 7]",2,True
14,56,5,"[0, 4, 5]",2,True
14,57,5,[5],1,True
14,58,4,[4],1,True
14,59,1,"[0, 1]",1,True
14,60,3,[3],1,True
14,61,5,"[4, 5, 6, 7]",3,True
14,62,5,"[4, 5, 6, 7]",2,True
14,63,6,"[4, 5, 6, 7]",2,True
14,64,2,[2],1,True
14,65,5,"[4, 5, 6, 7]",2,True
14,66,3,[3],1,True
14,67,1,[1],1,True
14,68,6,"[4, 5, 6, 7]",2,True
14,69,5,"[0, 1, 3, 4, 5]",3,True
14,70,4,[4],1,True
14,71,5,"[4, 5, 6, 7]",1,True
14,72,4,"[0, 1]",2,False
14,73,3,"[2, 3]",2,True
14,74,2,"[4, 5, 6, 7]",4,False
14,75,2,"[4, 5, 6, 7]",4,False
14,76,5,"[4, 5]",1,True
14,77,6,"[4, 5, 6]",3,True
14,78,6,[6],1,True
14,79,4,[4],1,True
14,80,5,"[4, 5, 6, 7]",1,True
14,81,6,"[4, 5, 6]",3,True
14,82,5,[5],1,True
14,83,2,"[4, 5]",2,False
14,84,5,"[4, 5]",1,True
14,85,2,"[4, 5]",2,False
14,86,5,"[4, 5]",1,True
14,87,4,[4],1,True
14,88,5,"[4, 5]",1,True
14,89,5,[5],1,True
14,90,5,[5],1,True
14,91,5,"[2, 3]",1,False
14,92,4,[4],1,True
14,93,5,"[0, 5]",2,True
14,94,5,[5],1,True
14,95,6,[6],1,True
14,96,5,"[4, 5, 6, 7]",1,True
14,97,6,"[0, 1, 6]",3,True
14,98,5,"[2, 4, 5]",3,True
14,99,5,[5],1,True
15,0,3,[3],1,True
15,1,3,"[0, 1, 2, 3, 6]",4,True
15,2,0,[0],1,True
15,3,3,"[2, 3]",1,True
15,4,3,"[2, 3]",1,True
15,5,1,"[1, 3]",2,True
15,6,3,"[0, 1, 2, 3, 7]",3,True
15,7,3,[3],1,True
15,8,3,[3],1,True
15,9,1,"[0, 1]",1,True
15,10,4,"[2, 3, 4, 5, 6, 7]",2,True
15,11,3,"[6, 7]",2,False
15,12,4,"[1, 3, 4]",3,True
15,13,3,"[2, 3, 5]",3,True
15,14,4,"[2, 3, 4]",2,True
15,15,3,"[2, 3]",2,True
15,16,3,"[0, 1, 2, 3]",1,True
15,17,4,[4],1,True
15,18,3,"[0, 1, 2, 3]",1,True
15,19,3,"[0, 1, 2, 3]",1,True
15,20,2,[2],1,True
15,21,3,[3],1,True
15,22,1,"[0, 1, 2, 3, 4, 5]",1,True
15,23,2,"[0, 1, 2, 3]",1,True
15,24,4,"[0, 4, 5, 6]",4,True
15,25,3,"[0, 1, 2, 3, 4, 5, 6, 7]",2,True
15,26,2,"[2, 3, 4, 5, 7]",2,True
15,27,0,"[0, 1, 2, 3, 4, 5]",1,True
15,28,6,"[2, 3, 6, 7]",1,True
15,29,5,"[4, 5, 6, 7]",2,True
15,30,3,[3],1,True
15,31,0,[0],1,True
15,32,2,[2],1,True
15,33,6,"[0, 6]",2,True
15,34,3,"[2, 3, 4, 5, 7]",4,True
15,35,3,[3],1,True
15,36,3,"[2, 3]",1,True
15,37,2,"[2, 3]",1,True
15,38,7,"[6, 7]",1,True
15,39,3,"[0, 1, 2, 3, 5, 6, 7]",2,True
15,40,1,[1],1,True
15,41,2,"[0, 1, 2]",3,True
15,42,2,"[0, 1, 2]",3,True
15,43,3,[3],1,True
15,44,4,[4],1,True
15,45,1,[1],1,True
15,46,3,"[2, 3]",1,True
15,47,1,"[4, 5, 6, 7]",4,False
15,48,2,[2],1,True
15,49,3,"[0, 1, 2, 3]",1,True
15,50,3,"[3, 6]",2,True
15,51,3,[7],1,False
15,52,2,[2],1,True
15,53,3,"[0, 1, 2, 3]",2,True
15,54,5,"[4, 5, 6, 7]",1,True
15,55,3,"[2, 3]",2,True
15,56,2,"[6, 7]",2,False
15,57,3,"[2, 3, 7]",2,True
15,58,6,[6],1,True
15,59,3,"[2, 3]",1,True
15,60,3,"[2, 3]",1,True
15,61,3,"[2, 3]",2,True
15,62,3,"[2, 3]",1,True
15,63,3,[7],1,False
15,64,2,[2],1,True
15,65,6,[6],1,True
15,66,4,"[0, 1]",2,False
15,67,3,"[2, 3]",1,True
15,68,3,"[0, 1, 2, 3]",2,True
15,69,3,"[0, 1, 2, 3]",1,True
15,70,2,"[0, 1, 2]",3,True
15,71,3,"[2, 3]",1,True
15,72,4,[4],1,True
15,73,1,[1],1,True
15,74,3,[6],1,False
15,75,3,"[0, 1, 3]",3,True
15,76,3,[3],1,True
15,77,1,"[0, 1, 4, 5, 6, 7]",6,True
15,78,5,"[4, 5, 6, 7]",1,True
15,79,1,[1],1,True
15,80,3,[3],1,True
15,81,3,"[2, 3]",1,True
