,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,on_optimal_path
329,29,29,16,508,7,7,5,2,True,0,0,12,True
330,30,30,7,515,6,0,5,2,False,0,0,12,True
331,31,31,17,532,7,7,5,2,True,0,0,12,True
332,32,32,15,547,5,5,5,0,True,0,0,12,True
333,33,33,18,565,4,7,5,1,False,0,0,12,True
334,34,34,7,572,4,5,5,1,False,0,0,12,True
335,35,35,11,583,0,0,5,3,True,0,0,12,True
336,36,36,7,590,4,5,5,1,False,0,0,12,True
337,37,37,13,603,4,4,5,1,True,0,0,12,True
338,38,38,15,618,5,5,5,0,True,0,0,12,True
339,39,39,16,634,4,4,5,1,True,0,0,12,True
340,40,40,22,656,6,7,5,2,False,0,0,12,True
341,41,41,4,660,5,4,5,0,False,1,2,12,True
342,42,42,15,675,3,0,5,3,False,0,0,12,True
343,43,43,19,694,5,5,5,0,True,0,0,12,True
344,44,44,13,707,5,5,5,0,True,0,0,12,True
345,45,45,21,728,6,7,5,2,False,0,0,12,True
346,46,46,24,752,4,4,5,1,True,0,0,12,True
347,47,47,12,764,5,5,5,0,True,0,0,12,True
348,48,48,9,773,5,5,5,0,True,0,0,12,True
349,49,49,20,793,5,5,5,0,True,0,0,12,True
350,50,50,24,817,5,5,5,0,True,0,0,12,True
351,51,51,17,834,5,5,5,0,True,0,0,12,True
352,52,52,26,860,4,4,5,1,True,0,0,12,True
353,53,53,17,877,6,7,5,2,False,0,0,12,True
354,54,54,11,888,5,5,5,0,True,0,0,12,True
355,55,55,21,909,5,5,5,0,True,0,0,12,True
356,56,56,21,930,5,5,5,0,True,0,0,12,True
357,57,57,16,946,6,7,5,2,False,0,0,12,True
358,58,58,14,960,5,5,5,0,True,0,0,12,True
359,59,59,22,982,4,4,5,1,True,0,0,12,False
360,60,60,18,1000,5,5,5,0,True,1,3,12,True
361,61,61,25,1025,4,4,5,1,True,0,0,12,True
362,62,62,22,1047,5,5,5,0,True,0,0,12,True
363,63,63,11,1058,5,5,5,0,True,0,0,12,True
364,64,64,14,1072,5,5,5,0,True,0,0,12,True
365,65,65,19,1091,6,6,5,2,True,0,0,12,True
366,66,66,14,1105,5,5,5,0,True,0,0,12,True
367,67,67,8,1113,5,5,5,0,True,0,0,12,True
368,68,68,14,1127,6,6,5,2,True,0,0,12,True
369,69,69,22,1149,4,4,5,1,True,0,0,12,True
370,70,70,10,1159,3,6,5,3,False,0,0,12,True
371,71,71,19,1178,3,5,5,3,False,0,0,12,True
372,72,72,13,1191,2,2,5,3,True,0,0,12,True
373,73,73,10,1201,1,2,5,3,False,0,0,12,True
374,74,74,14,1215,6,7,5,2,False,0,0,12,True
