,id,rho,alpha,ll,model_type
80,3,0.845,0.02,-1.069813541039365,full
81,3,0.845,0.14,-0.9345226270772848,full
82,3,0.845,1.0,-0.7223065309123238,full
83,3,0.845,7.39,-0.6617694517963897,full
84,3,0.845,54.6,-0.7294068324503126,full
85,3,0.9175,0.02,-1.009937958602731,full
86,3,0.9175,0.14,-0.8653822262677682,full
87,3,0.9175,1.0,-0.6661302411333283,full
88,3,0.9175,7.39,-0.5698488855132323,full
89,3,0.9175,54.6,-0.5833994051120583,full
90,3,0.99,0.02,-0.8529430964178504,full
91,3,0.99,0.14,-0.7697451839712686,full
92,3,0.99,1.0,-0.7317030016291609,full
93,3,0.99,7.39,-0.7222032407002759,full
94,3,0.99,54.6,-0.700832802075119,full
95,3,0.95,0.02,-1.5070508410602055,learn_only
96,3,0.95,0.14,-1.3660166681089214,learn_only
97,3,0.95,1.0,-1.2190778826605744,learn_only
98,3,0.95,7.39,-1.2529245072363704,learn_only
99,3,0.95,54.6,-1.438122005588907,learn_only
100,3,0.7,1.0,-1.1118554839845616,plan_only
101,3,0.7725,1.0,-0.9438512717545502,plan_only
102,3,0.845,1.0,-0.7742422374910198,plan_only
103,3,0.9175,1.0,-0.6179397194393846,plan_only
104,3,0.99,1.0,-0.6887935400755103,plan_only
105,4,0.7,0.02,-1.0124568809769745,full
106,4,0.7,0.14,-1.000154109629708,full
107,4,0.7,1.0,-1.020310728385354,full
108,4,0.7,7.39,-1.1020651923116385,full
109,4,0.7,54.6,-1.1743710201193,full
110,4,0.7725,0.02,-0.9312721297729263,full
111,4,0.7725,0.14,-0.8874483870958484,full
112,4,0.7725,1.0,-0.8444443955383509,full
113,4,0.7725,7.39,-0.887008533710097,full
114,4,0.7725,54.6,-0.9671475928659874,full
115,4,0.845,0.02,-0.8709600408630458,full
116,4,0.845,0.14,-0.8082920627071077,full
117,4,0.845,1.0,-0.7173673944168018,full
118,4,0.845,7.39,-0.6963013178157091,full
119,4,0.845,54.6,-0.7553869827335602,full
120,4,0.9175,0.02,-0.7704426928166367,full
121,4,0.9175,0.14,-0.7065279341430679,full
122,4,0.9175,1.0,-0.6091274528391081,full
123,4,0.9175,7.39,-0.5460437263746895,full
