,X,trial,trial_reward,total_reward,optimal_path,chosen_path,habit_path,distance,optimality,habit_test_trial,n_habit_test_trial,id,subset,full_prediction,full_prior_habit,full_ll,full_alpha,full_rho,learn_prediction,learn_ll,learn_alpha,plan_prediction,plan_ll,plan_rho,learn_rho,plan_alpha
1633,33,33,15,521,3,3,2,1,True,0,0,24,test,0.6070110484528422,0.16722930143481507,-0.4992082863537873,35.84,0.9136842105263158,0.11205687786098621,-2.188748698548622,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1634,34,34,24,545,3,3,2,1,True,0,0,24,train,0.6115549727046878,0.1676999727564661,-0.4917504297684598,35.84,0.9136842105263158,0.12369559541396996,-2.0899316072186904,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1635,35,35,17,562,1,0,2,2,False,0,0,24,test,0.5886010338477057,0.1681549484775504,-0.8881918147652363,35.84,0.9136842105263158,0.10929122459123486,-0.1157377563319672,2.87,0.6334270738007383,-1.0035577973695002,0.9289473684210526,0.95,1.0
1636,36,36,13,575,3,3,2,1,True,0,0,24,train,0.6155914859083275,0.16787346508756582,-0.48517170767132844,35.84,0.9136842105263158,0.13371530238051768,-2.012042348315661,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1637,37,37,20,595,2,2,2,0,True,0,0,24,train,0.6662714902560375,0.168304307193309,-0.4060580484785105,35.84,0.9136842105263158,0.39585016619591107,-0.9267195075191058,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1638,38,38,15,610,4,0,2,3,False,0,0,24,train,0.5526173285145555,0.17080846373598996,-0.804340962268854,35.84,0.9136842105263158,0.06743968693806514,-0.06982145066896202,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1639,39,39,23,633,2,2,2,0,True,0,0,24,train,0.6689768786120469,0.17002284353158587,-0.40200578056917435,35.84,0.9136842105263158,0.4014410228652735,-0.9126946483768528,2.87,0.6334270738007381,-0.45661040218397797,0.9289473684210526,0.95,1.0
1640,40,40,8,641,2,0,2,0,False,1,2,24,train,0.6728077836505255,0.1725102027762539,-1.117207463199475,35.84,0.9136842105263158,0.4114398084555664,-0.53007607791229,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1641,41,41,20,661,5,4,2,3,False,0,0,24,test,0.5475906518453777,0.17499894183536424,-0.7931678714819025,35.84,0.9136842105263158,0.06131884060515556,-0.0632794107952925,2.87,0.6334270738007381,-1.0035577973695,0.9289473684210526,0.95,1.0
1642,42,42,16,677,1,1,2,2,True,0,0,24,train,0.5887817615515032,0.17422216963242085,-0.529699687673069,35.84,0.9136842105263158,0.11031158209021527,-2.2044463528843563,2.87,0.6334270738007383,-0.4566104021839778,0.9289473684210526,0.95,1.0
